"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"WECJK6WL","journalArticle","2018","Mozgovoy, Maxim; Pyshkin, Evgeny","A Comprehensive Approach to Quality Assurance in a Mobile Game Project","","","","10.1145/3290621.3290835","","","2018","2021-02-26 20:18:32","2021-02-26 20:18:32","","1–8","","","","","","","","","","","","","","","","","","","","ISBN: 9781450361767","","/home/pol4ko/snap/zotero-snap/common/Zotero/storage/SU43TWIC/Mozgovoy and Pyshkin - 2018 - A Comprehensive Approach to Quality Assurance in a.pdf","","continuou; quality assurance; Software development","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XAJPHF5T","journalArticle","2015","Callele, David; Dueck, Philip; Wnuk, Krzysztof; Hynninen, Peitsa","Experience requirements in video games: Definition and testability","2015 IEEE 23rd International Requirements Engineering Conference, RE 2015 - Proceedings","","","10.1109/RE.2015.7320449","","© 2015 IEEE. A properly formed requirement is testable, a necessity for ensuring that design goals are met. While challenging in productivity applications, entertainment applications such as games compound the problem due to their subjective nature. We report here on our efforts to create testable experience requirements, the associated scope challenges and challenges with test design and result interpretation. We further report on issues experienced when performing focus group testing and provide practitioner guidance.","2015","2021-02-26 20:18:32","2021-02-26 20:18:32","","324–333","","","","","","","","","","","","","","","","","","","","ISBN: 9781467369053 Publisher: IEEE","","","","design goal; Experience requirements; testing; user experience; validation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ERNWLGQA","journalArticle","2014","Ramadan, Rido; Hendradjaya, Bayu","Development of game testing method for measuring game quality","Proceedings of 2014 International Conference on Data and Software Engineering, ICODSE 2014","","","10.1109/ICODSE.2014.7062694","","? 2014 IEEE.The quality of game is one of the factors that may stop the release of a game. Game testing can be used to measure the game quality. Unfortunately, most game testing use user-centric approach to test the quality of the game. In this paper, we propose a game testing method, which is developed from the existing game testing approach supplemented with software testing approach to measure the game quality. The game quality was derived from software engineering quality model standards and game quality model. The proposed game testing method is applied to several case studies. The case studies have demonstrated how to assess the games in order to obtain the meaningful results. The research found that the game quality results can be used by game developers to improve the game.","2014","2021-02-26 20:18:32","2021-02-26 20:18:32","","1–6","","","","","","","","","","","","","","","","","","","","ISBN: 9781479979967 Publisher: IEEE","","","","game; measurement; quality; testing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RXFUWLHC","journalArticle","2013","Kasurinen, Jussi; Strandén, Jukka-Pekka; Smolander, Kari","What do game developers expect from development and design tools?","Proceedings of the 17th International Conference on Evaluation and Assessment in Software Engineering - EASE '13","","","10.1145/2460999.2461004","http://dl.acm.org/citation.cfm?doid=2460999.2461004","","2013","2021-02-26 20:18:32","2021-02-26 20:18:32","","36","","","","","","","","","","","","","","","","","","","","ISBN: 9781450318488","","","","game industry; software development; technical infrastructure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5W9JQ8GL","conferencePaper","2011","Lewis, C; Whitehead, J","The whats and the whys of games and software engineering","1st International Workshop on Games and Software Engineering","978-1-4503-0578-5","","10.1145/1984674.1984676","http://dl.acm.org/citation.cfm?id=1984676","The intersection of video games and software engineering is not yet well understood. This paper highlights the varied and exciting opportunities available at the intersection of these two disciplines. We investigate four main areas: the development of games, how they are designed, how middleware supports the creative process and how games are tested. We hope that it inspires readers to take on the challenges available in games and software engineering, and join together to create a vibrant community.","2011","2021-02-26 20:18:32","2021-02-26 20:18:32","","1–4","","","","","","","","","","","","","","","","","","","","ISSN: 02705257","","","","gameprocess; software engineering; survey; video games","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UPDQ5XKS","journalArticle","2011","Hullett, Kenneth; Nagappan, Nachiappan; Schuh, Eric; Hopson, John","Data analytics for game development","","","","10.1145/1985793.1985952","","The software engineering community has had seminal papers on data analysis for software productivity, quality, reliability, performance etc. Analyses have involved software systems ranging from desktop software to telecommunication switching systems. Little work has been done on the emerging digital game industry. In this paper we explore how data can drive game design and production decisions in game development. We define a mixture of qualitative and quantitative data sources, broken down into three broad categories: internal testing, external testing, and subjective evaluations. We present preliminary results of a case study of how data collected from users of a released game can inform subsequent development.","2011","2021-02-26 20:18:32","2021-02-26 20:18:32","","940","","","80","","","","","","","","","","","","","","","","","ISBN: 9781450304450","","","","game design; game development; game metrics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PBXNSG5X","journalArticle","2009","Kanode, Christopher M.; Haddad, Hisham M.","Software engineering challenges in game development","ITNG 2009 - 6th International Conference on Information Technology: New Generations","","","10.1109/ITNG.2009.74","","In software engineering (SE), video game development is unique yet similar to other software endeavors. It is unique in that it combines the work of teams covering multiple disciplines (art, music, acting, programming, etc.), and that engaging game play is sought after through the use of prototypes and iterations. With that, game development is faced with challenges that can be addressed using traditional SE practices. The industry needs to adopt sound SE practices for their distinct needs such as managing multimedia assets and finding the ldquofunrdquo in game play. The industry must take on the challenges by evolving SE methods to meet their needs. This work investigates these challenges and highlights engineering practices to mitigate these challenges.","2009","2021-02-26 20:18:32","2021-02-26 20:18:32","","260–265","","","","","","","","","","","","","","","","","","","","ISBN: 9780769535968 Publisher: IEEE","","","","Challenges; Diverse assets; Process; Project management; Project scope; Publishing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PWKEKF5M","conferencePaper","2014","Murphy-Hill, Emerson; Zimmermann, Thomas; Nagappan, Nachiappan","Cowboys, ankle sprains, and keepers of quality: how is video game development different from software development?","Proceedings of the 36th International Conference on Software Engineering - ICSE 2014","978-1-4503-2756-5","","10.1145/2568225.2568226","http://dl.acm.org/citation.cfm?doid=2568225.2568226","Video games make up an important part of the software industry, yet the software engineering community rarely studies video games. This imbalance is a problem if video game development differs from general software development, as some game experts suggest. In this paper we describe a study with 14 interviewees and 364 survey respondents. The study elicited substantial differences between video game development and other software development. For example, in game development, “cowboy coders” are necessary to cope with the continuous interplay between creative desires and technical constraints. Consequently, game developers are hesitant to use automated testing because of these tests’ rapid obsolescence in the face of shifting creative desires of game designers. These differences between game and non-game development have implications for research, industry, and practice. For instance, as a starting point for impacting game development, researchers could create testing tools that enable game developers to create tests that assert flexible behavior with little up-front investment.","2014","2021-02-26 20:18:32","2021-02-26 20:18:32","2020-11-04 15:48:06","1-11","","","","","","Cowboys, ankle sprains, and keepers of quality","","","","","ACM Press","Hyderabad, India","en","","","","","DOI.org (Crossref)","","","","/home/pol4ko/snap/zotero-snap/common/Zotero/storage/GR3MSPEI/Murphy-Hill et al. - 2014 - Cowboys, ankle sprains, and keepers of quality ho.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","the 36th International Conference","","","","","","","","","","","","","","",""
"RUV78IFJ","journalArticle","2016","Zhang, Iris","Why Are We Permanently Stuck in an Elevator? A Software Engineering Perspective on Game Bugs","","","","10.7916/D8416XJ7","https://doi.org/10.7916/D8416XJ7","In the past decade, the complexity of video games have increased dramatically and so have the complexity of software systems behind them. The difficulty in designing and testing games invariably leads to bugs that manifest themselves across funny video reels on graphical glitches and millions of submitted support tickets. This paper presents an analysis of game developers and their teams who have knowingly released bugs to see what factors may motivate them in doing so. It examines different development environments as well as inquiring into varied types of game platforms and play-style. Above all, it seeks out how established research on software development best practices and challenges should inform understanding of these bugs. These findings may lead to targeted efforts to mitigate some of the factors leading to glitches, tailored to the specific needs of the game development team.","2016","2021-02-26 20:18:37","2021-02-26 20:18:37","2020-11-04 16:11:18","","","","","","","Why Are We Permanently Stuck in an Elevator?","","","","","","","en","","","","","academiccommons.columbia.edu","","","","/home/pol4ko/snap/zotero-snap/common/Zotero/storage/UHWTSAQP/Zhang - 2016 - Why Are We Permanently Stuck in an Elevator A Sof.pdf; /home/pol4ko/snap/zotero-snap/common/Zotero/storage/9T7LFKJ3/D8416XJ7.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APU6QSSJ","journalArticle","2018","Politowski, Cristiano; Fontoura, Lisandra M.; Petrillo, Fabio; Guéhéneuc, Yann Gaël","Learning from the past: A process recommendation system for video game projects using postmortems experiences","Information and Software Technology","","09505849","10.1016/j.infsof.2018.04.003","https://doi.org/10.1016/j.infsof.2018.04.003","Context: The video game industry is a billion dollar industry that faces problems in the way games are developed. One method to address these problems is using developer aid tools, such as Recommendation Systems. These tools assist developers by generating recommendations to help them perform their tasks. Objective: This article describes a systematic approach to recommend development processes for video game projects, using postmortem knowledge extraction and a model of the context of the new project, in which “postmortems” are articles written by video game developers at the end of projects, summarizing the experience of their game development team. This approach aims to provide reflections about development processes used in the game industry as well as guidance to developers to choose the most adequate process according to the contexts they're in. Method: Our approach is divided in three separate phases: in the first phase, we manually extracted the processes from the postmortems analysis; in the second one, we created a video game context and algorithm rules for recommendation; and finally in the third phase, we evaluated the recommended processes by using quantitative and qualitative metrics, game developers feedback, and a case study by interviewing a video game development team. Contributions: This article brings three main contributions. The first describes a database of developers' experiences extracted from postmortems in the form of development processes. The second defines the main attributes that a video game project contain, which it uses to define the contexts of the project. The third describes and evaluates a recommendation system for video game projects, which uses the contexts of the projects to identify similar projects and suggest a set of activities in the form of a process.","2018","2021-02-26 20:18:37","2021-02-26 20:18:37","","103–118","","March","100","","","","","","","","","","","","","","","","","Publisher: Elsevier","","","","Recommendation system; Software development process; Video game development","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
