N,"About ""GameDev""","About ""Test""",Title
18,TRUE,FALSE,30: 2: A Game Designed to Promote the Cardiopulmonary Resuscitation Protocol
33,FALSE,FALSE,A 360-degree panoramic camera using a mirror rotation mechanism
34,TRUE,TRUE,A chess rating system for evolutionary algorithms: A new method for the comparison and ranking of evolutionary algorithms
35,TRUE,FALSE,A component-based framework for rapidlydeveloping online board games
37,TRUE,FALSE,A component-based framework to rapidly prototype online chess games for home entertainment
38,TRUE,TRUE,A comprehensive approach to quality assurance in a mobile game project
477,FALSE,FALSE,A continuous fusion authentication for Android based on keystroke dynamics and touch gesture
40,TRUE,FALSE,A DSL for describing the artificial intelligence in real-time video games
41,FALSE,FALSE,A feasible user story tool for agile software development?
42,FALSE,FALSE,A Field-Validated Architecture for the Collection of Health-Relevant Behavioural Data
43,FALSE,FALSE,A framework for inferring predictive distributions of rhino poaching events through causal modelling
44,FALSE,FALSE,A framework for quantitative analysis of user-generated spatial data
46,TRUE,FALSE,A Framework to Determine the Suitability of Software Development Methodologies for the Development of Location-Based Games
47,FALSE,FALSE,"A framework to facilitate reusable, modular widget design for real-Time interactive systems"
49,TRUE,FALSE,A game for taking requirements engineering more seriously
51,TRUE,FALSE,A gamut of games
53,TRUE,FALSE,A heuristic based approach to team based behaviours in real time strategy games
54,FALSE,FALSE,A machine learning strategy for predicting March madness winners
56,TRUE,TRUE,A model-driven approach to generate and deploy videogames on multiple platforms
57,TRUE,FALSE,A proposal for cognitive gameplay requirements
478,FALSE,FALSE,A simulation based game approach for test drive exam
479,TRUE,TRUE,A Size Estimation Model for Board-Based Desktop Games
58,FALSE,FALSE,A software development process model for gesture-based interface
61,FALSE,FALSE,A system-design outline of the distributed-shogi-system Akara 2010
62,TRUE,TRUE,"A Verification, Validation and Accreditation Framework of Military Training Games"
63,TRUE,FALSE,A* algorithm analysis and optimization: In network game design
480,TRUE,TRUE,Abstraction refinement for games with incomplete information
64,TRUE,FALSE,Adapting a cheap game controller as a natural 3D input
65,TRUE,FALSE,Addressing expensive multi-objective games with postponed preference articulation via memetic co-evolution
67,TRUE,FALSE,Adjustment of Difficulty Level on Wobble Board-Based Game Using Monte Carlo Tree Search Algorithm
69,TRUE,FALSE,Admissibility in quantitative graph games
71,FALSE,FALSE,Admux communication protrocol for real-time multimodal intreaction
73,FALSE,FALSE,Agent oriented software engineering for multimedia systems' development: An experimental case study
74,FALSE,FALSE,Agile software process improvement: a collaborative game toolbox
75,FALSE,FALSE,Agilists and the art of integrated assessment tool development
77,FALSE,TRUE,Algorithms for validating E-tickets in mobile computing environment
78,FALSE,FALSE,An Analytical method for assessing the effectiveness of human in the loop simulation environments: A work in progress
79,TRUE,TRUE,An Approach for Professional Development. Triad Gaming Techniques in Simulation
80,TRUE,FALSE,An efficient ensemble pruning approach based on simple coalitional games
81,TRUE,TRUE,An evaluation of difficulty heuristics in game design using simulated player
82,TRUE,TRUE,An Experimental Study on Robustness and Responsiveness Testing of Iranian Android Games
83,FALSE,FALSE,An iterative framework for simulation conformance
85,FALSE,FALSE,An OWA-Based Model for Talent Enhancement in Cricket
87,FALSE,FALSE,Analysis of risk dependencies in collaborative risk management
481,FALSE,FALSE,Analyzing self-adaptation via model checking of stochastic games
482,FALSE,FALSE,Application of a multiplayer computer gaming paradigm to engineering design tools
90,TRUE,TRUE,Application of Volere shells as a principled approach to requirements capture and test planning for computer games
91,FALSE,FALSE,Augmenting emotional requirements with emotion markers and emotion prototypes
92,FALSE,TRUE,Automatic verification of Golog programs via predicate abstraction
94,FALSE,FALSE,Avant-gaming
483,FALSE,TRUE,Based on the analysis of mobile terminal application software performance test
96,TRUE,TRUE,Believability assessment for fighting game AI
98,TRUE,FALSE,Best reply search for multiplayer games
484,FALSE,FALSE,"Better, faster, and cheaper: What is better software?"
99,TRUE,FALSE,Beyond skill rating: Advanced matchmaking in ghost recon online
101,FALSE,FALSE,Billiards: An optimization challenge
103,FALSE,TRUE,Bitwise-parallel reduction for connection tests
105,TRUE,FALSE,Blending Immersive Gameplay with Intense Exercise using Asynchronous Exergaming
106,FALSE,TRUE,Can machines think? A report on Turing test experiments at the Royal Society
108,FALSE,FALSE,Can We Win the Security Game?
110,FALSE,FALSE,Card-based game methods: exploring SME entrepreneurial marketing practice
111,FALSE,FALSE,Change propagations in the maintenance of kernel-based software with a study on linux
113,TRUE,FALSE,Cinemacraft: exploring fidelity cues in collaborative virtual world interactions
485,FALSE,FALSE,Code Hunt: Experience with Coding Contests at Scale
114,FALSE,TRUE,CodeBender: Remote software protection using orthogonal replacement
115,FALSE,FALSE,Coderetreats: Reflective practice and the game of life
117,FALSE,FALSE,Common agile practices in software processes
119,FALSE,FALSE,Comparing apples with oranges: evaluating twelve paradigms of agency [agent implementation paradigms]
120,FALSE,FALSE,Comparison of Requirement Prioritization Techniques to Find Best Prioritization Technique
121,TRUE,FALSE,Computer games software factory and edutainment platform for Microsoft .NET
122,TRUE,FALSE,Constructing large scale cyber wargames
124,FALSE,TRUE,Continuous experimentation and A/B testing: A mapping study
127,FALSE,FALSE,Conversational systems: a conceptual model for off-line group support systems
128,TRUE,FALSE,Coordinated development model of E-sports based on three party game
129,FALSE,FALSE,Counter play-out: Executing unrealizable scenario-based specifications
131,TRUE,TRUE,"Cowboys, ankle sprains, and keepers of quality: How is video game development different from software development?"
486,FALSE,TRUE,Creating and debugging performance CUDA C
487,FALSE,FALSE,Crowdsourcing program preconditions via a classification game
488,TRUE,TRUE,Crushinator: A framework towards game-independent testing
133,TRUE,TRUE,Data analytics for game development (NIER track)
489,FALSE,FALSE,Data structure and software engineering: Challenges and improvements
136,FALSE,TRUE,Debugging CUDA
138,TRUE,TRUE,Deduction of fighting game countermeasures using Neuroevolution of Augmenting Topologies
141,TRUE,TRUE,Defining Usability Quality Metric for Game Prototype Using Software Attributes
490,TRUE,TRUE,Defining usability quality metric for mobile game prototype using software attributes
142,FALSE,FALSE,Deriving LVC State Synchronization Parameters from Interaction Requirements
144,FALSE,FALSE,Design of a Flow Visualisation Framework
145,FALSE,FALSE,Design of a process for localization system in ubiquitous space
146,TRUE,FALSE,Design of an Integrative System for Configurable Exergames Targeting the Senior Population
147,TRUE,FALSE,"Design, implementation, and wide pilot deployment of FitForAll: An Easy to use exergaming platform improving physical fitness and life quality of senior citizens"
149,TRUE,FALSE,Designing a hybrid position evaluation function for Chinese-chess computer game
150,TRUE,TRUE,Designing enjoyable VI deogames: Do heuristics differentiate bad from good?
151,TRUE,FALSE,Designing game for customer service training
491,TRUE,TRUE,Developing game AI agent behaving like human by mixing reinforcement learning and supervised learning
152,TRUE,FALSE,Development computer games on the Unity game engi for research of elements of the cognitive thinking in the playing process
492,TRUE,TRUE,Development computer games on the Unity game engi for research of elements of the cognitive thinking in the playing process [Розробка ігор на ігровому рушії Unity для дослідження елементів когнітивного мислення в ігровому процесі]
153,FALSE,FALSE,Development needs for diverse genetic algorithm design
155,TRUE,FALSE,Development of a HLA-based simulation game for RC airplanes and UAVs
157,FALSE,FALSE,Development of computerized Kana Pick-out Test for the neuropsychological examination
159,TRUE,TRUE,Development of game testing method for measuring game quality
162,FALSE,FALSE,Development of the lap-counter sofeware in track and field events
493,FALSE,FALSE,Development of VR Based Authoring Tool for Smart Factory
494,FALSE,FALSE,Disassortative degree mixing and information diffusion for overlapping community detection in social networks (DMID)
163,FALSE,FALSE,Disconnected service architecture for unanticipated run-time evolution of code
165,TRUE,TRUE,Distributed DeepThought: Synchronising complex network multi-player games in a scalable and flexible manner
166,FALSE,FALSE,Domain axioms for a family of near-semirings
495,FALSE,TRUE,Droid mate: A robust and extensible test generator for android
496,FALSE,FALSE,Dynamic randomization and domain knowledge in Monte-Carlo Tree Search for Go knowledge-based systems
497,TRUE,TRUE,ECSE: A pseudo-SDLC game for software engineering class
169,FALSE,FALSE,Effective agent collaboration through improved communication by means of contextual reasoning
498,FALSE,FALSE,Effort Estimation for Embedded Software Development Projects by Combining Machine Learning with Classification
170,FALSE,TRUE,Emergent behavior identification within an agent-based model of the Ballistic Missile Defense System using statistical debugging
173,TRUE,FALSE,Enhancing a commercial game engine to support research on route realism for synthetic human characters
174,TRUE,FALSE,Enhancing spherical photography with videogame visual effects in virtual reality experiences for users with limited mobility
176,TRUE,FALSE,Enhancing the Measurement of Clinical Outcomes Using Microsoft Kinect
2,TRUE,TRUE,Ensemble': Playing with sensors and sound
177,FALSE,FALSE,Environment optimization for crowd evacuation
178,TRUE,FALSE,Equilibrium strategies via GA to stackelberg games under multiple follower's best reply
180,FALSE,TRUE,Evaluating applicability of combinatorial testing in an industrial environment: A case study
182,FALSE,FALSE,Evaluating compass routing based AOI-cast by MOGs mobility models
183,TRUE,TRUE,Evaluating game heuristics for measuring player experience
184,TRUE,FALSE,Evaluating the aesthetics of endgame studies: A computational model of human aesthetic perception
499,TRUE,FALSE,Evaluation of a social multiplayer game featuring multimodal interaction
186,FALSE,FALSE,Expecting the unexpected: Training detectors for unusual pedestrians with adversarial imposters
187,TRUE,TRUE,Experience requirements in video games: Definition and testability
189,FALSE,FALSE,Experience with constructing code hunt contests
191,TRUE,FALSE,Experiencing a process to create a multimedia game and validating results application in a socio-cultural environment
500,FALSE,FALSE,Experiments in Computational Heuristics and Their Lessons for Software and Knowledge Engineering
192,FALSE,FALSE,"Extending procedural task models by systematic explicit integration of objects, knowledge and information"
194,FALSE,FALSE,Extreme programming modified: embrace requirements engineering practices
197,TRUE,FALSE,FaceBo: Real-time face and body tracking for faithful avatar synthesis
198,FALSE,FALSE,Fair equivalence relations
501,FALSE,FALSE,Fate and free will in error traces
200,FALSE,FALSE,FGSAE-based software transformation
201,TRUE,FALSE,FILTWAM - a Framework for Online Game-Based Communication Skills Training - Using Webcams and Microphones for Enhancing Learner Support
202,TRUE,TRUE,Fine-tuning parameters for emergent environments in games using artificial intelligence
203,TRUE,FALSE,For the love of the game [embedded software development]
206,TRUE,FALSE,Foxes and Chickens: An Android Game
207,TRUE,TRUE,"Friends and buffaloes: One game, two modelling processes"
209,TRUE,FALSE,From INGENIAS to an Interactive Storyboard using Alice 3D at prototype level
211,FALSE,FALSE,From live sequence charts to state machines and back: A guided tour
502,FALSE,TRUE,From software verification to 'everyware' verification
213,TRUE,TRUE,Gambit: a prototyping approach to video game design
214,TRUE,FALSE,Game designer behaviour modelling interface
215,TRUE,FALSE,Game Factors Influencing Players to Continue Playing Online Pets
216,TRUE,FALSE,Game level layout from design specification
217,TRUE,TRUE,Game Player Strategy Pattern Recognition by using Radial Basis Function
218,TRUE,FALSE,Game semantics for higher-order concurrency
220,TRUE,FALSE,GAMES II project: a general architecture for medical knowledge-based systems
503,TRUE,TRUE,GATE: Game-based testing environment
222,TRUE,FALSE,GDGSE: Game Development with Global Software Engineering
224,FALSE,FALSE,General framework for bidirectional translation between abstract and pictorial data
226,FALSE,TRUE,Generating structured test data with specific properties using nested monte-carlo search
228,FALSE,FALSE,Generic software developer toolkit and application development strategy for Java wireless applications
229,FALSE,FALSE,Gesture-recognition with non-referenced tracking
231,FALSE,FALSE,Goal-directed reasoning for specification-based data structure repair
233,FALSE,FALSE,GOAL: A multi-agent programming language applied to an exploration game
235,FALSE,FALSE,Good machine performance in turing's imitation game
236,FALSE,FALSE,Guidelines for applying research results
504,TRUE,FALSE,Haphop-physio: A computer game to support cognitive therapies in children
237,FALSE,FALSE,Hierarchical bounding sphere ffd-aabb algorithm for fast collision handing of 3d deformable objects on smart devices
239,FALSE,FALSE,Hints for High-Assurance Cyber-Physical System Design
241,FALSE,FALSE,Human Attention in Visual Question Answering: Do Humans and Deep Networks Look at the Same Regions?
243,FALSE,FALSE,Human misidentification in Turing tests
505,FALSE,TRUE,Identifying modules which do not propagate errors
246,FALSE,FALSE,Image-based dice interpretation for a Yahtzee game
247,FALSE,FALSE,Imitation with ALICE: learning to imitate corresponding actions across dissimilar embodiments
248,TRUE,TRUE,Immersion and gameplay experience: A contingency framework
249,FALSE,FALSE,IMOVE: A Motion Tracking and Projection Framework for Social Interaction Applications
250,FALSE,FALSE,Implementation of a platform-agnostic working memory span task using mobile device technology
506,TRUE,FALSE,Implementation of common platform for two-person game
251,TRUE,FALSE,"Implementing an intelligent agent in a known, observable, discrete and deterministic environment using a scriptable game-engine"
254,TRUE,TRUE,Improving software projects inception phase using games: ActiveAction workshop
255,FALSE,FALSE,Improving the State of Automotive Software Engineering
257,FALSE,FALSE,"Incremental sampling process for actual function points validation in a contract, an empirical experiment"
259,TRUE,TRUE,Indirect Network Effects and Platform Dominance in the Video Game Industry: A Network Perspective
260,FALSE,FALSE,Industrial Design meets mental healthcare: Designing products involving game-elements for mental healthcare therapy - Three case studies
261,FALSE,FALSE,Integrating shadows in model driven engineering for agile software development
264,FALSE,FALSE,Inter-organisational approach in rapid software product family development - A case study
508,TRUE,TRUE,Investigating the design process: Participatory design in agile software development
509,FALSE,FALSE,Investigating the extreme programming system - An empirical study
267,TRUE,TRUE,Is the resource-based 'view' a useful perspective for SHRM research? The case of the video game industry
269,TRUE,TRUE,Issues in the development of location-based games
270,TRUE,FALSE,JFakih: Modelling mobile learning game
271,TRUE,FALSE,Kinect Based Real Time Gesture Recognition Tool for Air Marshallers and Traffic Policemen
