N,Description,Status,Title,Abstract
38,Lessons learned focused on QA of a mobile game development,ACCEPTED,A comprehensive approach to quality assurance in a mobile game project,"Quality assurance is an integral part of software development process. Game projects possess own distinctive traits that affect all stages of work. In this paper, we share the lessons learned during a three year-long mobile game development project. We discuss the conceptual architecture for mobile game quality assurance through the perspective of techniques that turned out to be most efficient for us, including manual testing, automated and manual runtime bug reporting, Crashlytics-supported crash analysis, automated smoke testing, and playtesting. We analyze how these activities address typical game-specific mobile development and testing issues, and why they can be recommended for game projects, as well as for wider range of mobile applications. © 2018 Association for Computing Machinery."
56,Using a model-driven approach to build multiplatform games. Not sure if has something about testing.,ACCEPTED,A model-driven approach to generate and deploy videogames on multiple platforms,"Currently, videogame development for mobile devices is a highly profitable and competitive industry worldwide. This profitability can be ascribed to the popularity that new technologies such as smartphones and tablets have acquired over the last few years. To increase competitiveness, we use a model driven engineering (MDE) approach to develop multi-platform videogames in a quick and easy manner. MDE helps us to reduce the number of errors, the amount of time required and the development costs and favors a productivity increment. The aim of this work is to present an approach for the agile development of multi-platform videogames by using high-level abstraction models. We offer a feasible solution supported by a tool that allows the development of videogames in a simple and agile way. An empirical validation is presented through a use case where the viability of our approach is shown in comparison with that of other tools. Finally, a survey shows the users' perception of the solution with the objective of validating the use case results. The given use case indicates that our approach is suitable for improving videogame development. The survey indicates that users think that it is possible to model videogames and generate the corresponding applications with our approach."
479,"Not related to game development, but they are assessing open source games and estimating their size. Might be interesting.",ACCEPTED,A Size Estimation Model for Board-Based Desktop Games,"Software size estimation plays a key role in the planning of projects at the time of project inception. This paper describes the derivation, validation, and usage of a parametric model meant for estimating the size of board-based desktop games. This model is derived using forward stepwise multiple linear regression on a data set comprising over 60 open source board-based games collected from multiple open source repositories. A variety of prediction accuracy metrics (e.g., MMRE, PRED(x), MdMRE, and so on) are used to assess this model and K-fold cross-validation is used to validate this model. Model assessment and validation exercises yield promising results. The utility of this model is demonstrated by presenting a worked-out game size estimation example followed by some size-related what-if analyses. © 2013 IEEE."
62,Introduce a process for VV&A for military training games.,ACCEPTED,"A Verification, Validation and Accreditation Framework of Military Training Games","Military training games(MTGs) have been used more and more widely within armed forces all around the world. In contrast to the commercial games, military training is the primary goal of the MTGs rather than entertainment. The application of game within the military training domain brings with it an inherent risk associated with the danger of developing erroneous or unsuitable games and thus may transform erroneous knowledge to the trainees while using the game in the military training. Aiming at this problem, this paper introduced verification, validation and accreditation (VV&A) into the MTG design and development process. By introducing VV&A into the MTG design and development process, the errors which may hidden in the intermediate products such as sponsor needs, MTG requirements specification, MTG design document, ESC can be detected. The MTG accreditation assessment influence factors and the standard accreditation decision options are also put forward in this paper. The intended object of introducing VV&A into the MTG design and development is to ensure that only correct and suitable MTG games are developed for the military training use."
480,New approach for incomplete games. Need investigation.,ACCEPTED,Abstraction refinement for games with incomplete information,"Counterexample-guided abstraction refinement (CEGAR) is used in automated software analysis to find suitable finite-state abstractions of infinite-state systems. In this paper, we extend CEGAR to games with incomplete information, as they commonly occur in controller synthesis and modular verification. The challenge is that, under incomplete information, one must carefully account for the knowledge available to the player: the strategy must not depend on information the player cannot see. We propose an abstraction mechanism for games under incomplete information that incorporates the approximation of the players' moves into a knowledge-based subset construction on the abstract state space. This abstraction results in a perfect-information game over a finite graph. The concretizability of abstract strategies can be encoded as the satisfiability of strategy-tree formulas. Based on this encoding, we present an interpolation-based approach for selecting new predicates and provide sufficient conditions for the termination of the resulting refinement loop. © Dimitrova, Finkbeiner."
81,Approach to predict/measure the difficulty of the game on-the-fly,ACCEPTED,An evaluation of difficulty heuristics in game design using simulated player,"In this paper we present our research in the area of au-thoring tools development. The over arching goal of this work is to provide mechanisms that can be used to measure the design characteristics of games. We aim to develop a framework that can offer designers ongoing informative feedback on the difficulty of a level as they build prototypes, thus allowing them to gauge their designs. We outline a number of measures, which we hypothesise can be useful in predicting the difficulty of a level. In this work we present details of our exemplar game, and the reasons for choosing it as our test bed. We incorporate a naive strategy for simulating a player's performance in any given instance of this game. In order to verify the usefulness of our measures, we undertake an extensive set of experiments using this simulated player. We present the results illustrating the relationship between our measures and the performance of the simulated player. © 2010 EUROSIS-ETI."
82,Experimental study to check the responsiveness and fault tolerance of mobile applications.,ACCEPTED,An Experimental Study on Robustness and Responsiveness Testing of Iranian Android Games,"During the last decade, many Iranian software and game developers have targeted Android as their main development framework, resulting in the availability of a large number of Android applications. Despite the opportunities that Android provides for application developers, it introduces new challenges for the development of high quality applications. In this paper, we have focused on responsiveness and fault-tolerance as two interesting quality attributes of Android applications, lack of which might result in users' dissatisfaction and leaving the application. Hence, we have conducted an experimental study, using monkey testing technique, on a set of Iranian Android games to assess their robustness and responsiveness. The results demonstrate that much more attention needs to be paid by Iranian Android developers to the responsiveness and fault-tolerance of their applications, since about 85% of the analyzed games have shown to have at least one responsiveness or robustness error."
90,Issues of requirements and testing in game development according to S.E.,ACCEPTED,Application of Volere shells as a principled approach to requirements capture and test planning for computer games,"Software Engineering is an issue of increasing importance to the games industry. This paper looks at the linked issues of requirements capture and testing, and argues that an adaptation of a modern requirements method - Volere Shells - is potentially useful to games developers as a lightweight but principled approach to addressing these issues. A simple case study will be used to illustrate the points made in this paper."
96,Methods to analyze player and AI behaviour,ACCEPTED,Believability assessment for fighting game AI,"We describe two methods of analyzing human and AI play style patterns in an arcade fighting game. The first is the application of a Turing test to study game characters' behavior. The second is the calculation of a cosine similarity between 'behavior fingerprints' consisting of sequences of individual actions or combo chains. The main goal of this study is aimed to find an approach that helps to determine the believability of game AI. Our experiments with Universal Fighting Engine environment and its built-in AI system demonstrated that both people and AI agents exhibit different play styles, and AI agents are virtually indistinguishable from human-controlled characters. © 2017 EUROSIS. All rights reserved."
131,Survey about differences on SE and GameDev. ,ACCEPTED,"Cowboys, ankle sprains, and keepers of quality: How is video game development different from software development?","Video games make up an important part of the software industry, yet the software engineering community rarely studies video games. This imbalance is a problem if video game development differs from general software development, as some game experts suggest. In this paper we describe a study with 14 interviewees and 364 survey respondents. The study elicited substantial differences between video game development and other software development. For example, in game development, cowboy coders are necessary to cope with the continuous interplay between creative desires and technical constraints. Consequently, game developers are hesitant to use automated testing because of these tests rapid obsolescence in the face of shifting creative desires of game designers. These differences between game and non-game development have implications for research, industry, and practice. For instance, as a starting point for impacting game development, researchers could create testing tools that enable game developers to create tests that assert flexible behavior with little up-front investment. © 2014 ACM."
